Category,RGS,AC,PValue,Bonferroni
Metabolism: lipid,56,526,3.319977875456542e-27,3.319977875456542e-25
Stress response: detoxification,28,206,6.284118780330714e-17,6.2841187803307144e-15
Stress response: heat,8,30,3.671749107220289e-08,3.6717491072202894e-06
Transmembrane transport: ABC,9,50,2.0195582967701676e-07,2.0195582967701675e-05
Stress response: pathogen,16,192,3.444176772015242e-07,3.444176772015242e-05
Unassigned,158,6343,1.348303493930442e-06,0.00013483034939304418
Metabolism: 1CC,6,29,9.793106105524658e-06,0.0009793106105524657
Metabolism: amino acid,8,82,0.00010026660707144227,0.010026660707144228
